time,r,Ge,G,P,Q,N
83.43624161073825,0.01,4.4605658719938335,4.4599297557186155,5.048588492953893,1.9641614071712113e-09,1.7240336116501804e-28
85.69127516778524,0.0,4.458361861459701,4.29327895195545,5.268932082598183,3.5462511853739696e-09,1.0153962434870072e-27
85.69127516778524,0.0005263157894736842,4.458361861459701,4.293729741521963,5.268946931544022,3.540878820432879e-09,1.0103482314702383e-27
85.69127516778524,0.0010526315789473684,4.458361861459701,4.295082239361701,5.268991472504336,3.524816129477027e-09,9.953647372617524e-28
85.69127516778524,0.0015789473684210526,4.458361861459701,4.297336919037796,5.269065691226347,3.498224304152247e-09,9.709175341501917e-28
85.69127516778524,0.002105263157894737,4.458361861459701,4.300494555694429,5.269169563416835,3.461368971012567e-09,9.377642291659216e-28
85.69127516778524,0.002631578947368421,4.458361861459701,4.304556234990848,5.269303055114271,3.4146153710740367e-09,8.969073025911476e-28
85.69127516778524,0.003157894736842105,4.458361861459701,4.309523353555692,5.26946612273754,3.358421929490334e-09,8.495414569557344e-28
85.69127516778524,0.0036842105263157894,4.458361861459701,4.315397619566894,5.269658713148132,3.2933322742396545e-09,7.969931632150597e-28
85.69127516778524,0.004210526315789474,4.458361861459701,4.322181053454417,5.269880763725625,3.219965905201616e-09,7.406567983350548e-28
85.69127516778524,0.004736842105263157,4.458361861459701,4.329875988722799,5.27013220245599,3.1390077456524264e-09,6.819317588281247e-28
85.69127516778524,0.005263157894736842,4.458361861459701,4.338485072890441,5.270412948032463,3.051196831312422e-09,6.2216453484634595e-28
85.69127516778524,0.005789473684210527,4.458361861459701,4.348011268542815,5.2707229099684865,2.9573144070457215e-09,5.625990090624486e-28
85.69127516778524,0.00631578947368421,4.458361861459701,4.358457854497123,5.271061988722324,2.85817170786114e-09,5.043373040281707e-28
85.69127516778524,0.006842105263157894,4.458361861459701,4.369828427076473,5.271430075832884,2.7545976990443153e-09,4.483124565445102e-28
85.69127516778524,0.007368421052631579,4.458361861459701,4.382126901492442,5.271827054066265,2.6474270404211183e-09,3.9527316280792663e-28
85.69127516778524,0.007894736842105263,4.458361861459701,4.395357513335556,5.272252797572494,2.537488522546042e-09,3.4577991407046927e-28
85.69127516778524,0.008421052631578947,4.458361861459701,4.409524820174062,5.2727071720517715,2.4255941988779363e-09,3.0021110453109366e-28
85.69127516778524,0.008947368421052631,4.458361861459701,4.424633703262001,5.273190034929693,2.312529408743094e-09,2.5877718557288055e-28
85.69127516778524,0.009473684210526315,4.458361861459701,4.4406893693581395,5.273701235541147,2.1990438522167004e-09,2.2154067601136103e-28
85.69127516778524,0.01,4.458361861459701,4.457697352657584,5.274240615324281,2.085843841522461e-09,1.8843980130829868e-28
87.9463087248322,0.0,4.4560601305372325,4.283618708188431,5.504047932680486,3.847804256675259e-09,1.1853110574285751e-27
87.9463087248322,0.0005263157894736842,4.4560601305372325,4.284089572052146,5.504064336047389,3.841724473268217e-09,1.1791848151939645e-27
